Id,Actual,usable
5694059,1.8377939296999999,1
9129611,0.0020670603,1
8058479,4.588517014100001,1
1315360,2.3258350028,1
6813515,0.8723087994,1
3675670,0.0010372933,1
4789495,1.8185921571,1
7914064,1.6321021042,1
6243184,2.4989840685,1
2228590,3.5499636399,1
2782798,1.5954252888999998,1
8553726,0.0007520342999999999,0
2490274,1.260999155,1
6788290,2.6364954703,1
8477445,1.1919624925,1
3701779,1.2639781978,1
4890349,3.4033004973,1
1284205,2.7371614642,1
9391198,1.2464034351,1
5099383,0.0004918052,0
7683065,1.2415882932,1
3652340,1.5366446901,1
7559502,1.3004874434,1
3651013,0.0003097999,0
8741355,0.2723331918,1
5616871,1.2029493676,1
8759126,3.3162533264999996,1
5853098,0.8258447659999999,1
7974389,0.0009603127000000001,0
8381017,3.1095556676,1
6118515,1.4818665007,1
5031156,0.6201076543999999,1
7479175,1.3858386222999999,1
2612198,3.5723533076,1
5045499,1.2112475549,1
1336861,2.9954381686000002,1
2631966,1.3274080864,1
8869508,1.2645191805,1
3062781,1.3682216291,1
7839042,1.2916718987,1
9630852,1.5623190975999999,1
6955304,0.2807940244,1
8462987,1.6514150841,1
2457801,1.3009711637999999,1
7952766,0.000540219,0
6551701,4.5570267455,1
4997962,2.1925891192,1
3882949,1.4009842872999998,1
1328828,1.3122350639,1
4717882,0.5685389356,1
2033045,1.5313659846,1
8538519,2.8191991245,1
5763967,1.2150532658,1
7648650,1.3937030715,1
7838840,0.4882960755,1
7223702,1.6553207153999998,1
4078002,0.0007896743,0
6892815,1.7083198838,1
5294055,2.5575672485,1
1382587,0.20542899480000001,1
7544148,0.0005973202,1
8310484,0.5478007662,1
2676769,1.4009869777000001,1
8134232,2.7417213014999997,1
2515135,1.3667945344999999,1
7130406,1.4223604041999998,1
7286237,1.4332066167,1
3932761,2.0862838974,1
2254947,1.5196446304,1
9527106,3.8489671961000003,1
6011239,0.7806404249,1
1549927,0.0017479758,1
8606547,1.2112324919,1
6415244,1.8081487103,1
5808251,2.3886912699000002,1
3984899,1.176361244,1
5907330,1.4119261505,1
2902001,2.9262356451,1
5074461,5.3493670173000005,1
9729846,0.0008489362,0
9958470,1.3464900315000001,1
3119681,1.4109410419,1
5366300,2.1510688599,1
3004089,0.0024866351999999997,1
5916755,2.0721104667,1
7941654,2.2080297536,1
8121601,0.6809697586,1
9290111,0.4576558426,1
5510760,3.4054527286000003,1
8221692,1.1716276498,1
2853257,1.6985887751,1
1613761,1.3069906892,1
6922456,0.0005254623000000001,0
4539916,1.7701555565,1
2356003,3.1546053069999997,1
2299575,4.1193462261,1
7675013,2.9476074986,1
5017174,1.9517616487,1
5289207,2.5002551534,1
2808053,0.0009938473,0
9166175,0.5135067737,1
1648275,0.5133745961,1
9022364,1.7838980773,1
1038705,1.5031245235,1
8532926,2.4748898184,1
4854622,2.4901627921,1
8536790,1.4237648050999998,1
5621848,1.2575783122,1
7411789,2.2465693725,1
6328459,1.4798763349000001,1
2607204,2.6799184481,1
8469715,1.8898282107,1
1152548,0.0018054486999999999,1
5801736,1.5479263012,1
2334106,0.0007062759,0
9199327,3.1707641901,1
9047555,1.7510373922,1
3536583,4.8683435669,1
2424805,1.5688697408,1
3223744,1.8293271312000001,1
6392352,0.7489343995000001,1
9939738,1.5866888286,1
1019406,1.7375003672999998,1
3445182,1.464668765,1
7140771,1.2141010028,1
8241518,2.5056743812,1
7470980,0.454354484,1
9557951,0.872627279,1
9431455,1.1091678848,1
6516364,1.7506299775999998,1
2607742,0.0006238556,0
5540916,1.6009496276,1
3767049,1.6549227574,1
3776862,2.7328510963,1
2337368,1.6318698628,1
7067819,0.0005069364,1
6259847,1.2120533342,1
3548003,0.0039502909,1
1341423,2.9547212511,1
5267162,1.5358674378,1
5375072,0.0009529898,0
1973715,3.5243228302999996,1
6637935,4.03830874,1
3135678,0.7857843856000001,1
4161775,0.6146735038000001,1
9366110,0.48697155799999997,1
4228455,3.3958335657,1
1368881,1.5072554689,1
4723929,1.742508006,1
1205053,1.4173497102000001,1
5756340,3.0724555668,1
2760184,2.3092083824,1
7884022,3.5193266704000004,1
8496770,0.415618143,1
6874776,1.5872297213,1
8727296,0.0041762166,1
